recommendationid,author,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,primarily_steam_deck
208356494,"{'steamid': '76561198390112802', 'num_games_owned': 249, 'num_reviews': 16, 'playtime_forever': 52, 'playtime_last_two_weeks': 0, 'playtime_at_review': 52, 'last_played': 1682273901}",german,"The game is good don't get me wrong. 

I just have to do my part...since they overthrown Portal... also I am to stupid to play this game :c",1762215422,1762215460,False,0,0,0.5,0,True,False,False,False
208340731,"{'steamid': '76561199392498886', 'num_games_owned': 0, 'num_reviews': 5, 'playtime_forever': 459, 'playtime_last_two_weeks': 0, 'playtime_at_review': 459, 'last_played': 1733072195}",spanish,me parecen mas interesantes las clases de filosofia,1762199704,1762199704,False,0,0,0.5,0,True,False,False,False
208327066,"{'steamid': '76561198440050764', 'num_games_owned': 44, 'num_reviews': 8, 'playtime_forever': 690, 'playtime_last_two_weeks': 690, 'playtime_at_review': 448, 'last_played': 1762213461}",english,terraria better,1762187978,1762187978,False,0,0,0.400000005960464478,0,True,False,False,False
208323163,"{'steamid': '76561198804398205', 'num_games_owned': 52, 'num_reviews': 18, 'playtime_forever': 206, 'playtime_last_two_weeks': 164, 'playtime_at_review': 201, 'last_played': 1762216599}",schinese,钓鱼好反人类，不好玩,1762184515,1762184515,False,0,0,0.476190477609634399,0,True,False,False,False
208309733,"{'steamid': '76561199193311647', 'num_games_owned': 42, 'num_reviews': 4, 'playtime_forever': 3974, 'playtime_last_two_weeks': 1215, 'playtime_at_review': 3926, 'last_played': 1762174415}",schinese,3333,1762171581,1762171581,False,0,0,0.477941185235977173,0,True,False,False,False
208296541,"{'steamid': '76561198199195490', 'num_games_owned': 156, 'num_reviews': 56, 'playtime_forever': 3620, 'playtime_last_two_weeks': 1, 'playtime_at_review': 3620, 'last_played': 1761496258}",russian,помоишная игра ♡♡♡♡,1762152476,1762152476,False,0,0,0.476190477609634399,0,True,False,False,False
208284768,"{'steamid': '76561198140473706', 'num_games_owned': 105, 'num_reviews': 44, 'playtime_forever': 1012, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1012, 'last_played': 1610756969}",english,the singular girl in a class of mine who plays top 40s christian rock against everyone's will and said that monster high was the devil has this game on her main tabs and i have decided to place all the blame of her decisions on to this game,1762135533,1762137352,False,1,0,0.456591635942459106,1,True,False,False,False
208280048,"{'steamid': '76561198117527239', 'num_games_owned': 70, 'num_reviews': 36, 'playtime_forever': 497, 'playtime_last_two_weeks': 21, 'playtime_at_review': 497, 'last_played': 1761862630}",english,Webfishing clears,1762130150,1762130150,False,0,0,0.476190477609634399,0,True,False,False,False
208256118,"{'steamid': '76561199271646707', 'num_games_owned': 64, 'num_reviews': 19, 'playtime_forever': 1850, 'playtime_last_two_weeks': 0, 'playtime_at_review': 1850, 'last_played': 1760728277}",brazilian,"Não da pra comer o mendigo, dito isso: -1/10 não recomendo e se pudesse pedia reembolso.",1762111343,1762111343,False,1,1,0.523809552192687988,0,True,False,False,False
208220950,"{'steamid': '76561198017775768', 'num_games_owned': 0, 'num_reviews': 10, 'playtime_forever': 591, 'playtime_last_two_weeks': 591, 'playtime_at_review': 591, 'last_played': 1762085515}",russian,"Господи как скучно и уныло.
Посадил семена, полил - устал и ни на что уже не способен. Вот так прошел день.

Проснулся, полил семена - устал, поймал пару рыб - уже без сил.  Вот так прошел день.

Начался дождь - ура, не надо поливать! Пошел в пещеру - прошел 2-3 уровня, добываешь камни и руду(они же нужны) - устал. Вот так прошел день.

Дождь все ещё идет - ура, можно что-то ещё поделать. Пошел порубил деревья, подобывал камень из булыжников - устал. Вот так прошел день.

Думаешь - я не хочу тратить силы на поливку. Окей можно купить спринклер - нужно 1 слиток железа и меди. Медь вроде достать худо-бедно можешь, а где брать железо? Пошел в шахты, дошел до 9 уровня - убили, железо так и не нашёл.

Устал от духоты такой, вышел, удалил.

Уютно, мило, но оооооочень скучно.",1762086103,1762086103,False,0,0,0.498220652341842651,0,True,False,False,False
208219055,"{'steamid': '76561199379737756', 'num_games_owned': 53, 'num_reviews': 1, 'playtime_forever': 6607, 'playtime_last_two_weeks': 2584, 'playtime_at_review': 6607, 'last_played': 1762084353}",schinese,自动右移,1762084396,1762084396,False,0,0,0.45267486572265625,0,True,False,False,False
208218650,"{'steamid': '76561199686075635', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 53, 'playtime_last_two_weeks': 0, 'playtime_at_review': 53, 'last_played': 1758734469}",english,zzz,1762084055,1762084055,False,0,0,0.434782594442367554,1,True,False,False,False
208215956,"{'steamid': '76561198436992599', 'num_games_owned': 65, 'num_reviews': 11, 'playtime_forever': 59, 'playtime_last_two_weeks': 0, 'playtime_at_review': 59, 'last_played': 1754647268}",schinese,萌新求助各位大佬，这游戏的乐趣在哪里（我不是真的给差评，我个人其实非常喜欢环世界，群星，钢丝之类的游戏，但目前体验下来总感觉内容很单调，貌似不能杀人）,1762081552,1762081552,False,1,0,0.47826087474822998,0,True,False,False,False
201712209,"{'steamid': '76561199766709152', 'num_games_owned': 0, 'num_reviews': 8, 'playtime_forever': 12188, 'playtime_last_two_weeks': 0, 'playtime_at_review': 12188, 'last_played': 1756109756}",turkish,robini bekarlara ekleyin,1754668172,1762072483,False,0,0,0.5,0,True,False,False,False
208205175,"{'steamid': '76561198876135222', 'num_games_owned': 269, 'num_reviews': 36, 'playtime_forever': 891, 'playtime_last_two_weeks': 0, 'playtime_at_review': 891, 'last_played': 1749904179}",turkish,sevgilim olana kadar,1762069920,1762069920,False,0,0,0.5,0,True,False,False,False
208167590,"{'steamid': '76561199275033326', 'num_games_owned': 0, 'num_reviews': 10, 'playtime_forever': 243, 'playtime_last_two_weeks': 243, 'playtime_at_review': 243, 'last_played': 1761797881}",english,"Not my cup of tea. I don't like it. It's like a hybrid of animal crossing, minecraft, and terrira.",1762030638,1762030638,False,0,0,0.472972989082336426,0,True,False,False,False
192807342,"{'steamid': '76561199567620920', 'num_games_owned': 0, 'num_reviews': 17, 'playtime_forever': 404, 'playtime_last_two_weeks': 0, 'playtime_at_review': 404, 'last_played': 1732817405}",english,"[h2]Linear Snoozefest, Handholding not Optional[/h2]

Walk around at the excruciatingly slow pace that the developer wants you to, save the game only when the developer says that you are allowed to, go to bed when the developer wants you to, and if you don't, be forcibly put down and penalised, interact with this or that mechanic when the developer says that you can. 

This just might be the most overpraised game of the century, either that or gamers are such drooling simpletons that you can appease them with slop like this. I don't want you to constantly handhold me and go so far as to prevent me from saving and quitting whenever I want, even permadeath roguelikes allow you that luxury and those are supposed to be the brutal games.

There is also barely any gameplay even worth talking about, put seed in ground, talk to townies that are either: 1) Generic goody-two-shoes townie, 2) Former but rude- but what is that? It is okay, guys, it turns out that they actually have a super deep and tragic backstory! You just need to bring out their soft and cuddly side via the power of friendship!

Sleep, harvest and sell with no depth nor nuance and barely any supporting mechanics (wow, you can do generic romance or mine, or slay beasts by spamming lmb like its Terraria). Absolutely worth a buy if you do enjoy watching grass grow and the equivalent of intimacy with a drywall interests you.",1744733179,1762020909,False,1,0,0.400771051645278931,0,True,False,False,False
154337485,"{'steamid': '76561199550130403', 'num_games_owned': 164, 'num_reviews': 12, 'playtime_forever': 10907, 'playtime_last_two_weeks': 0, 'playtime_at_review': 10907, 'last_played': 1752694499}",english,"A very repetitive POS and the gameplay loop is so boring .
The colors are so goddamn unbalanced lol , fries your goddamn eyes.
Overall , it's bad don't buy it go play Fallout New Vegas instead , yes go ahead do it .
( i'm not asking you)
.
Understood ?
.
Bro go ahead buy Fallout new vegas
.
.
BROOOOOOOOOOO",1703468264,1762015215,False,1,0,0.523809552192687988,1,True,False,False,False
205199872,"{'steamid': '76561198404770855', 'num_games_owned': 0, 'num_reviews': 2, 'playtime_forever': 7977, 'playtime_last_two_weeks': 0, 'playtime_at_review': 7977, 'last_played': 1755638195}",turkish,Solo için alınabilir.,1758840367,1762014421,False,0,0,0.5,0,True,False,False,False
